省份,2016,2017,2018,2019,2020,2021,2022,2023,2024
上海,0.357358258744153,0.3417922246700299,0.338785094477014,0.31921981488855333,0.3160129240173785,0.3075820775175006,0.2788565234817625,0.2649483981896744,0.2364461645384246
云南,0.40735485250373815,0.36507901640588825,0.3986149576210388,0.18818856153577107,0.14056055701530365,0.12306726170508848,0.12645365312140425,0.25452954395013855,0.29395560642189605
内蒙古,0.2859451374743087,0.2493746143437521,0.25848599278508994,0.14529206849789453,0.12643469173870103,0.056450272318510304,0.09841724420207058,0.20949066384561596,0.2947578598978279
北京,0.35513217517584955,0.3201023026661338,0.2837912203970695,0.2499849511339356,0.2512820033090922,0.22505193449117697,0.218644880822097,0.20371822000097944,0.18983911617563973
吉林,0.35827140056591383,0.37132255165806843,0.4080602470689992,0.3873816796742003,0.39561249806521664,0.42155919120858076,0.4462675289089869,0.49974428540827764,0.4976084911639316
四川,0.42703299439187703,0.42463702948608456,0.4461747540220701,0.36812722027003114,0.3807928496832014,0.37325206322441795,0.37154961088773325,0.39718565621739144,0.42863261366187777
天津,0.2682499816349413,0.24829078426072476,0.21751062683069505,0.16861664383108912,0.22776071343507565,0.24018870901559153,0.2140557592627442,0.2190506771067282,0.22184232449521596
宁夏,0.22653489666119223,0.20918632041678842,0.18122968403629028,0.1366214926863784,0.15143527333181478,0.13898635580760066,0.11905179752676551,0.1675848370738589,0.21524708034736403
安徽,0.3804236358650532,0.40176326716250543,0.38537540698107486,0.34988333974608893,0.34439999205262967,0.3528563510180069,0.3526241172877732,0.34680810057165096,0.3377788431199466
山东,0.2759689038160809,0.2810203684150799,0.3125354592469398,0.3433988596304454,0.32647206813823404,0.32718172173000504,0.31850840693611415,0.3358706382520664,0.3494348233954023
山西,0.40336753891557764,0.3601410713962342,0.34492688841824287,0.30825099931249805,0.29434706812343575,0.17403233601045473,0.1629289827583644,0.2897842211243199,0.386178860576316
广东,0.12994849067409228,0.14913961445235738,0.15049862892023805,0.17399757990338985,0.1374757058622077,0.13324030757042502,0.16559144157501424,0.17535645042169218,0.194614989012483
广西,0.4406463520773468,0.36299101294322766,0.40446787212353263,0.29125254693224495,0.2900648016460645,0.28283424031141935,0.29693785588323307,0.38880044423308985,0.420344007607677
新疆,0.3574064574269189,0.32226835758401173,0.328516312287685,0.2719978209344956,0.2795547336089632,0.2525329264167377,0.2714965594651749,0.3718489701199366,0.48877354837263975
江苏,0.29107214249548946,0.29428361895549887,0.2805155578029562,0.2791779560087167,0.29500848156266307,0.26650509575739917,0.28338930743499857,0.2868451964955942,0.30346134891109683
江西,0.2851420330053425,0.2700043191556923,0.3134850833451608,0.26285145404373905,0.29668561567948004,0.3074628413587391,0.3243331424374957,0.35397451487596054,0.3676131531311789
河北,0.3725855442094233,0.40871970541834424,0.42449199853581754,0.3573093989914466,0.3464301955405222,0.32106872399410863,0.3324576503363778,0.40065383028867907,0.4362238348281818
河南,0.22150738696175365,0.22020363337964505,0.3180312553478002,0.314299054969259,0.30279897614193996,0.330739639251157,0.3344817129277992,0.3866846188545605,0.4065428648105123
浙江,0.3142549502836038,0.2938453478342636,0.28014943391248176,0.2549016869336929,0.2328570511681295,0.22521852099343648,0.2247640678577511,0.21619178845454326,0.22438733398736535
海南,0.3065659271645709,0.26479585438015485,0.330783955681819,0.2672167424938686,0.4125885700164498,0.4465355572289956,0.388654171378784,0.42526139262002327,0.3901738114403191
湖北,0.3294329963999036,0.33837264677541445,0.3823593037483113,0.34126590659065353,0.33692860740615405,0.32898690118507706,0.3535652008345788,0.37173080860105856,0.3972034872802692
湖南,0.37577896473695194,0.3862155663146717,0.4067006199843241,0.3088316943444214,0.3034978336720179,0.3018731779494403,0.3144474726856763,0.3671181513922019,0.39283753772906704
甘肃,0.41778995383970396,0.47520653304825916,0.46416418614404364,0.341645528495437,0.37720898016850857,0.3364201980131772,0.3038666309670205,0.3454985281619408,0.36003525492184935
福建,0.20400934199251847,0.2041588407889332,0.18818806257174536,0.17831832646282747,0.19688266810562466,0.19991439883643217,0.22846823783498516,0.25784290044282315,0.28979159132186666
西藏,1.1636217167978418,1.0704988314752146,0.9785221224925738,0.9818277343314388,0.8829396599095845,0.8753257512372861,0.828417492966092,0.8120702401239696,0.7936284190075986
贵州,0.3041249495254336,0.33529404666774076,0.3304441413243865,0.18869692724806417,0.14507236641728,0.15046371295419184,0.16323411096493723,0.2817091101308666,0.29623282216673724
辽宁,0.3658951138845246,0.3348769659949009,0.35294357529060216,0.3639833559310779,0.3559866267610573,0.3556555206207414,0.35982662657109193,0.40119447586295015,0.42008417417754546
重庆,0.36908921389352517,0.37303311035351366,0.37912915772390604,0.32572484781598954,0.2890038318261141,0.28073792958879157,0.28689672626585466,0.3205279904104798,0.32746080444940423
陕西,0.33283038219446387,0.30105733341618046,0.31488608744665253,0.24053352649738213,0.2604900754568432,0.23292358548161693,0.2305755800702942,0.3017562695452403,0.3397746042394232
青海,0.3230073581927804,0.30637280105410797,0.21595361899712442,0.2779441333770175,0.30030404488368273,0.3042861354827221,0.2852254146551506,0.2849446655188758,0.23966690612513936
黑龙江,0.44862591965282456,0.33622486419519143,0.4009501248539251,0.2974095271613798,0.33054054233969893,0.3198849288386229,0.2934394215778921,0.38331770950165356,0.3974760615776224
